Startup Name,Industry,Amount Invested lakhs,Equity Taken %,Partners,Valuation Requested lakhs,Season
FinSmart_1,Healthcare,70,11.9,Peyush,1206,2
TechNova_2,Technology,434,13.49,Vineeta,4595,2
MediCare_3,Travel,186,18.25,Namita,1943,1
MediCare_4,Fashion,376,24.36,Aman,1276,3
GreenFuel_5,Fashion,92,9.77,Ashneer,1508,1
TravelBee_6,Food,485,3.97,Ashneer,857,3
GreenFuel_7,Technology,267,5.95,Aman,4570,3
HealthPlus_8,Travel,115,19.27,Namita,2960,1
MediCare_9,Education,262,6.35,Anupam,4523,1
Foodify_10,Healthcare,230,23.15,Vineeta,3350,3
StyleHub_11,Finance,470,19.27,Aman,279,1
StyleHub_12,Food,5,3.34,Ashneer,3858,1
HealthPlus_13,Food,96,24.35,Anupam,1803,3
TechNova_14,Education,439,3.93,Vineeta,107,2
Foodify_15,Travel,474,14.24,Peyush,4587,3
FinSmart_16,Fashion,48,9.71,Aman,215,3
MediCare_17,E-commerce,284,10.74,Anupam,296,3
MediCare_18,Healthcare,488,21.05,Namita,2535,3
TechNova_19,Food,175,23.1,Peyush,1394,3
EduSpark_20,Healthcare,90,10.46,Aman,1940,2
GreenFuel_21,Finance,56,1.87,Vineeta,1883,3
HealthPlus_22,Fashion,138,8.01,Peyush,1164,2
TechNova_23,Technology,276,17.38,Peyush,3091,2
FinSmart_24,Finance,193,21.76,Anupam,3119,1
GreenFuel_25,Healthcare,262,15.65,Namita,3216,3
Foodify_26,Fashion,47,19.11,Anupam,973,1
TechNova_27,Food,127,16.26,Namita,810,3
FinSmart_28,Travel,174,11.88,Aman,3527,2
TravelBee_29,E-commerce,369,18.86,Vineeta,362,3
TravelBee_30,Travel,333,5.73,Vineeta,2101,3
EduSpark_31,Fashion,136,10.82,Vineeta,3086,1
TravelBee_32,Education,270,11.37,Peyush,1543,3
MediCare_33,Technology,219,5.13,Vineeta,1621,1
TechNova_34,Healthcare,337,11.07,Ashneer,1676,3
TravelBee_35,Technology,61,14.71,Aman,2416,1
EduSpark_36,Healthcare,247,23.33,Vineeta,1645,1
HealthPlus_37,Finance,67,22.8,Anupam,1704,3
GreenFuel_38,Food,497,1.44,Ashneer,4494,2
TravelBee_39,Finance,398,3.7,Anupam,3786,3
FinSmart_40,Education,212,22.5,Ashneer,1496,1
EcoKart_41,Fashion,54,15.68,Namita,1214,3
TravelBee_42,Finance,419,20.61,Anupam,1321,2
Foodify_43,Fashion,201,18.96,Anupam,169,2
StyleHub_44,Travel,261,1.13,Ashneer,4568,1
FinSmart_45,Education,358,13.71,Peyush,3915,1
FinSmart_46,Technology,308,3.96,Vineeta,4464,2
HealthPlus_47,Food,312,13.54,Vineeta,109,2
TechNova_48,Healthcare,465,15.31,Vineeta,4117,3
FinSmart_49,Fashion,34,3.81,Anupam,3470,2
EcoKart_50,Healthcare,463,24.64,Peyush,4168,2
EcoKart_51,Finance,79,3.57,Vineeta,1269,1
EcoKart_52,Food,250,11.35,Ashneer,1980,1
EcoKart_53,Healthcare,245,10.95,Ashneer,2653,1
EduSpark_54,E-commerce,94,5.39,Aman,4178,1
HealthPlus_55,Food,212,13.76,Vineeta,3331,1
FinSmart_56,Finance,459,13.22,Ashneer,3774,2
HealthPlus_57,Food,420,15.32,Anupam,247,3
HealthPlus_58,Finance,190,3.64,Aman,3591,2
StyleHub_59,Travel,175,2.59,Ashneer,2222,1
MediCare_60,Fashion,411,17.96,Namita,3618,2
TravelBee_61,Education,176,4.7,Aman,4607,1
GreenFuel_62,Education,406,6.59,Ashneer,4884,1
MediCare_63,E-commerce,38,3.61,Aman,1251,2
GreenFuel_64,Healthcare,134,14.82,Peyush,2895,1
MediCare_65,Education,105,9.35,Anupam,3184,3
HealthPlus_66,Education,84,2.29,Vineeta,2369,3
EcoKart_67,Healthcare,296,12.03,Ashneer,1770,1
StyleHub_68,Technology,494,9.15,Anupam,4030,1
GreenFuel_69,Travel,146,24.27,Anupam,1664,2
MediCare_70,Technology,104,14.2,Namita,3878,3
TechNova_71,Food,438,22.93,Namita,4582,2
StyleHub_72,Food,231,1.66,Namita,1228,3
StyleHub_73,Healthcare,64,20.5,Vineeta,299,2
Foodify_74,Education,163,16.7,Ashneer,3524,1
StyleHub_75,Healthcare,48,13.2,Anupam,3809,2
EcoKart_76,Education,236,18.91,Anupam,1293,3
EcoKart_77,Education,334,4.16,Peyush,2255,2
EcoKart_78,Healthcare,377,23.94,Namita,2154,2
HealthPlus_79,Finance,451,7.46,Peyush,4855,2
HealthPlus_80,Finance,162,15.53,Aman,1954,2
StyleHub_81,Food,75,14.07,Namita,3842,3
Foodify_82,Fashion,7,13.04,Namita,83,3
FinSmart_83,Travel,43,16.93,Ashneer,4884,1
Foodify_84,Food,248,21.4,Vineeta,780,3
TechNova_85,Travel,202,11.43,Peyush,3642,1
TechNova_86,Finance,447,10.91,Vineeta,2847,3
GreenFuel_87,Finance,75,1.22,Anupam,97,2
